Geocod;V012;V013;V014;V015
1505064;1256;10697;5;3181
1505106;6424;705;0;4125
1505205;2431;1285;0;1753
1505304;6924;546;1;6191
1505403;1724;1872;0;514
1505437;5196;1407;0;476
1505486;233;7789;0;2019
1505494;1433;334;1;210
1505502;13656;9614;0;1690
1505536;31225;8757;35;2709
1505551;407;755;1;483
1505601;1334;661;0;214
1505635;226;2774;0;495
1505650;340;3907;0;1303
1505700;2933;990;2;1903
1505809;2052;3953;3;3598
1505908;3044;630;6;2380
1506005;2923;942;0;2285
1506104;1830;612;1;201
1506112;1001;1402;0;652
1506138;4519;13424;190;1748
1506161;1092;3610;2;451
1506187;9556;1029;2;1948
1506195;2812;4638;1;1877
1506203;5894;2413;2;769
1506302;4029;848;0;193
1506351;3028;1114;0;318
1506401;1229;40;0;232
1506500;9936;3897;1;1231
1506559;628;3305;0;712
1506583;1024;3518;30;561
1506609;4829;861;1;650
1506708;792;11581;10;1438
1506807;41357;14380;16;14227
1506906;1125;200;0;222
1507003;5467;1046;0;457
1507102;2994;812;0;408
1507151;3914;1732;2;355
1507201;2954;1458;0;1992
1507300;1413;18486;4;2454
1507409;2406;1028;0;501
1507458;3368;2642;3;799
1507466;1072;137;0;141
1507474;3112;1246;0;685
1507508;1198;1417;0;641
1507607;4508;4866;1;3266
1507706;1394;379;3;3070
1507755;1048;242;0;113
1507805;1578;908;0;805
1507904;4199;774;1;564
1507953;4876;10887;2;746
1507961;2074;367;0;154
1507979;2845;242;0;530
1508001;8257;3642;2;1662
1508035;1683;3089;2;1652
1508050;50;3048;1;923
1508084;3962;4551;1;936
1508100;19461;2755;1;1331
1508126;3407;3924;1;1234
1508159;96;8847;1;2297
1508209;5106;5560;0;1131
1508308;4296;5271;3;2724
1508357;615;1780;0;581
1508407;1637;8442;0;1359
1600055;776;308;0;62
1600105;218;1213;76;262
1600154;751;1276;0;481
1600204;867;1087;2;290
1600212;735;27;1;269
1600238;853;182;0;198
1600253;552;97;0;299
1600279;8651;346;0;801
1600303;51155;38631;6;4650
1600402;820;1389;0;1330
1600501;704;3210;1;728
1600535;791;2693;6;633
1600550;212;551;0;38
1600600;15304;5356;1;1568
1600709;879;1418;1;518
1600808;1800;60;0;894
1700251;433;27;214;86
1700301;1145;89;0;88
1700350;1042;660;0;22
1700400;1479;458;1;101
1700707;1964;550;60;12
1701002;2227;292;2;119
1701051;637;112;0;65
1701101;949;211;0;90
1701309;781;562;0;348
1701903;1113;596;0;119
1702000;1742;1176;0;10
1702109;40836;2030;7;975
1702158;1054;301;0;38
1702208;5924;1315;4;914
1702307;1545;362;0;50
1702406;2131;407;1;620
1702554;3700;349;1;256
1702703;802;185;0;118
1702901;2237;165;0;50
1703008;1265;784;0;475
1703057;597;169;0;149
1703073;661;223;0;130
1703107;1300;142;0;20
1703206;862;438;0;44
1703305;702;276;0;72
1703602;520;82;0;8
1703701;942;419;0;157
1703800;2128;116;0;38
1703826;487;20;0;53
1703842;1150;535;0;197
1703867;611;438;0;25
1703883;334;318;0;12
1703891;811;59;0;68
1703909;704;576;0;61
1704105;414;277;0;11
1704600;241;189;0;24
1705102;425;457;0;45
1705508;8464;537;2;121
1705557;1314;25;7;91
1705607;784;277;0;97
1706001;707;575;4;135
1706100;1783;454;0;28
1706258;241;244;0;5
1706506;1043;221;4;217
1707009;4450;392;63;249
1707108;1289;634;0;21
1707207;911;993;1;370
1707306;876;546;0;24
1707405;1662;475;0;115
1707553;795;332;0;11
1707652;1027;695;0;12
1707702;1421;544;2;315
1708205;3087;2145;5;109
1708254;567;74;0;47
1708304;593;831;0;102
1709005;1886;589;18;497
1709302;6164;493;0;321
1709500;19633;3419;14;176
1709807;361;140;0;17
1710508;1374;317;4;185
1710706;1144;286;0;190
1710904;380;476;0;201
1711100;440;284;0;22
1711506;547;481;0;72
1711803;314;315;0;49
1711902;1303;1056;0;276
1711951;661;188;0;50
1712009;546;190;0;65
1712157;297;75;0;118
1712405;604;204;0;206
1712454;571;37;0;119
1712504;846;474;0;19
1712702;358;107;1;90
1712801;533;221;2;94
1713205;5037;671;20;212
1713304;3256;424;14;96
1713601;811;860;0;214
1713700;329;295;1;61
1713809;857;406;0;239
1713957;504;271;0;100
1714203;1998;317;50;240
1714302;1096;37;1;89
1714880;2081;763;1;147
1715002;692;433;0;14
1715101;848;144;0;68
1715150;548;35;0;106
1715259;530;48;0;76
1715507;222;93;0;4
1715705;506;546;0;304
1715754;1800;409;8;145
1716109;11649;1685;0;76
1716208;1357;566;106;845
1716307;806;402;4;96
1716505;2941;267;0;100
1716604;1945;1204;49;91
1716653;725;629;0;160
1716703;1881;745;1;168
1717008;808;351;0;65
1717206;295;469;0;99
1717503;1112;727;0;136
1717800;710;111;1;496
1717909;1272;543;0;213
1718006;512;120;10;95
1718204;11336;1617;2;793
1718303;1644;121;0;70
1718402;791;196;0;89
1718451;510;199;0;10
1718501;491;148;0;264
1718550;725;325;1;99
1718659;379;20;0;54
1718709;454;194;0;139
1718758;858;621;1;200
1718808;915;38;0;44
1718840;403;447;234;39
1718865;1345;365;0;112
1718881;472;216;0;128
1718899;231;370;1;64
1718907;485;712;0;142
1719004;469;152;0;40
1720002;555;41;0;87
1720101;745;241;0;180
1720150;249;35;0;61
1720200;1711;734;0;283
1720259;560;200;0;66
1720309;844;48;0;187
1720499;771;492;33;49
1720655;878;602;0;61
1720804;1829;464;0;91
1720853;247;291;0;13
1720903;3192;282;36;830
1720937;401;27;61;40
1720978;430;366;0;4
1721000;65601;2500;8;560
1721109;959;387;0;289
1721208;5639;175;0;383
1721257;273;128;0;77
1721307;323;305;0;18
1722081;2085;606;2;220
1722107;2410;612;5;159
2100055;23196;1421;16;2851
2100105;657;226;0;420
2100154;1978;388;0;362
2100204;3495;977;0;1602
2100303;2180;2290;1;1315
2100402;1805;520;0;310
2100436;4383;551;0;915
2100477;5969;793;1;509
2100501;1692;546;2;371
2100550;760;533;0;210
2100600;5804;1872;3;1551
2100709;3951;1062;2;1475
2100808;2452;651;1;222
2100832;2485;445;1;459
2100873;1205;1306;0;537
2100907;3527;2888;71;3763
2100956;3759;1523;21;1615
2101004;4513;586;0;1826
2101103;1628;211;0;684
2101202;22468;1367;1;2410
2101251;2444;97;0;1116
2101301;2596;397;0;1217
2101350;777;301;0;319
2101400;14715;5074;1;1487
2101509;3611;237;1;877
2101608;14984;912;41;5684
2101707;4094;5776;0;2263
2101731;503;242;0;520
2101772;2610;196;0;172
2101806;1047;105;0;267
2101905;1703;2710;1;1187
2101939;828;441;0;227
2101970;602;1097;0;118
2102002;6284;1245;1;2054
2102036;3546;707;1;1934
2102077;1754;1424;1;341
2102101;3461;1734;13;2726
2102150;403;315;0;556
2102200;1816;2365;20;1848
2102309;3877;698;1;1133
2102325;9254;1193;5;4521
2102358;3042;513;0;220
2102374;259;626;0;885
2102408;1245;514;1;830
2102507;929;1510;1;1868
2102556;3210;189;0;108
2102606;1645;1663;0;860
2102705;2691;818;1;1203
2102754;2169;403;1;307
2102804;4454;760;1;1074
2102903;2138;1887;0;988
2103000;30196;3936;4;6019
2103109;2315;51;0;221
2103125;1250;312;0;417
2103158;1229;768;0;596
2103174;933;2180;0;821
2103208;7747;4835;8;5047
2103257;2765;484;0;266
2103307;22947;2843;8;3773
2103406;9131;1309;1;671
2103505;5828;1358;1;2686
2103554;1662;266;0;1411
2103604;12759;1787;3;1370
2103703;5296;1555;0;1576
2103752;2836;408;0;74
2103802;5441;404;1;358
2103901;1166;662;0;558
2104008;3608;487;2;705
2104057;7554;1089;0;447
2104073;779;992;1;215
2104081;809;295;0;764
2104099;1555;1324;2;983
2104107;1528;972;0;350
2104206;2784;175;1;966
2104305;1335;433;0;709
2104404;3600;278;0;681
2104503;2175;125;0;277
2104552;3272;711;1;261
2104602;3602;133;0;361
2104628;1746;40;0;106
2104651;1527;823;1;482
2104677;2780;2475;0;560
2104701;1548;83;0;67
2104800;10747;1391;23;2736
2104909;2608;213;0;505
2105005;2311;1970;0;1357
2105104;2390;750;0;2636
2105153;2652;140;0;225
2105203;1700;804;0;332
2105302;62172;4043;6;2340
2105351;2515;201;1;555
2105401;9571;2504;4;3624
2105427;5585;635;0;400
2105450;1981;37;0;117
2105476;2434;300;20;870
2105500;4582;511;1;307
2105609;3338;107;1;467
2105658;662;266;0;58
2105708;2303;6913;0;2220
2105807;1207;1068;0;318
2105906;1907;858;0;919
2105922;2012;187;0;485
2105948;1346;603;0;112
2105963;1467;368;5;564
2105989;1156;345;5;318
2106003;2455;365;0;368
2106102;1565;320;1;784
2106201;891;388;2;306
2106300;3270;275;6;493
2106326;1457;2504;0;649
2106359;176;856;37;690
2106375;1572;1165;0;358
2106409;2354;529;1;653
2106508;2262;2233;1;1080
2106607;4642;1550;1;1118
2106631;980;484;0;1065
2106672;695;678;0;426
2106706;2124;626;5;2142
2106755;3891;335;0;969
2106805;2135;934;1;471
2106904;5023;1039;1;1410
2107001;1439;647;0;302
2107100;1273;855;0;1644
2107209;1272;385;1;882
2107258;633;259;0;296
2107308;678;92;6;431
2107357;1631;2358;0;524
2107407;2107;1907;0;842
2107456;1717;1058;0;484
2107506;17441;2529;6;7122
2107605;3117;1175;0;655
2107704;3604;306;0;1378
2107803;5866;1537;3;1241
2107902;3688;128;0;752
2108009;3741;443;14;490
2108058;452;1851;0;611
2108108;1372;2470;2;908
2108207;8728;785;0;995
2108256;476;3669;0;1170
2108306;3623;2202;1;2057
2108405;1200;1609;0;789
2108454;2724;1394;0;1473
2108504;6457;179;0;1056
2108603;7787;8020;1;3660
2108702;4059;515;0;821
2108801;2277;870;0;1018
2108900;2418;1849;0;1038
2109007;4546;624;1;474
2109056;1422;30;0;103
2109106;9851;546;0;1517
2109205;760;337;0;1392
2109239;1130;247;0;96
2109270;1074;2363;0;572
2109304;787;500;0;1224
2109403;494;1635;2;840
2109452;5143;444;2;963
2109502;3068;1250;7;952
2109551;1061;645;0;190
2109601;5722;1825;1;1908
2109700;550;388;0;431
2109759;1556;111;2;74
2109809;842;5466;0;2504
2109908;19196;401;1;657
2110005;11475;2175;14;3790
2110039;3458;1629;0;283
2110104;3052;1679;0;1625
2110203;4822;1321;0;1776
2110237;2084;125;0;281
2110278;167;1924;1;505
2110302;2413;587;1;711
2110401;1551;1461;0;907
2110500;5470;2366;0;1828
2110609;2919;471;0;2880
2110658;936;534;0;209
2110708;7707;400;1;756
2110807;89;209;0;914
2110856;1729;500;2;446
2110906;1245;663;0;1379
2111003;1990;1339;21;1713
2111029;1440;696;1;472
2111052;1767;564;2;541
2111078;3075;451;0;734
2111102;6357;175;22;459
2111201;27706;4048;10;10798
2111250;1660;23;1;184
2111300;211357;18903;98;46450
2111409;3096;1124;3;1005
2111508;4815;3253;0;1746
2111532;2448;320;0;244
2111573;661;270;0;174
2111607;3103;313;0;1022
2111631;894;194;1;299
2111672;810;126;0;380
2111706;1232;2298;0;1613
2111722;1936;347;0;214
2111748;1240;557;1;783
2111763;3912;374;0;229
2111789;1601;503;0;632
2111805;1996;1355;0;748
2111904;1831;249;5;615
2111953;1027;84;0;101
2112001;1371;316;0;249
2112100;3325;1772;0;1444
2112209;34936;1289;1;4054
2112233;4216;479;0;407
2112274;1265;52;0;56
2112308;8590;573;3;1267
2112407;1558;2315;1;3904
2112456;1504;2772;0;916
2112506;4117;4531;1;2665
2112605;2378;1517;0;1330
2112704;4585;2409;59;4043
2112803;4464;4933;4;2912
2112852;1784;634;1;317
2112902;6137;392;1;1017
2113009;3673;3169;0;1390
2114007;6528;4077;1;1272
2200053;298;182;816;581
2200103;1441;49;1;42
2200202;4098;285;3;337
2200251;1030;55;196;996
2200277;1331;8;67;82
2200301;2428;1149;0;387
2200400;6464;2283;0;1625
2200459;1015;125;0;153
2200509;3400;183;0;1278
2200608;1958;35;0;83
2200707;1474;10;595;484
2200806;622;166;0;79
2200905;946;312;5;347
2200954;333;40;0;296
2201002;652;294;0;304
2201051;1398;85;26;363
2201101;1864;308;182;745
2201150;1796;451;0;273
2201176;1090;30;0;57
2201200;5708;3049;2;1882
2201309;624;61;0;44
2201408;1480;34;0;327
2201507;4895;967;31;1014
2201556;840;9;11;67
2201572;469;37;16;405
2201606;1706;701;1;360
2201705;1055;197;0;206
2201739;0;100;311;1154
2201770;826;475;0;219
2201804;1295;30;1;57
2201903;5026;275;5;377
2201919;871;255;2;214
2201929;259;11;1022;226
2201945;1257;163;0;192
2201960;1502;296;6;373
2201988;492;190;6;464
2202000;3246;564;6;1039
2202026;1445;275;42;294
2202059;1187;978;1;415
2202075;655;141;4;130
2202083;230;902;23;664
2202091;54;54;306;1127
2202109;742;101;80;718
2202117;338;98;114;708
2202133;614;86;2;906
2202174;897;344;1;442
2202208;10337;1510;2;1040
2202251;716;141;0;232
2202307;3261;647;24;1905
2202406;1821;433;0;706
2202455;389;149;61;545
2202505;998;58;647;942
2202539;639;327;19;468
2202554;578;16;168;443
2202604;3315;912;112;693
2202653;484;225;0;558
2202703;2137;1777;5;2792
2202711;974;190;1;163
2202729;629;574;3;349
2202737;505;404;0;106
2202752;1583;32;0;78
2202778;1737;138;6;125
2202802;691;121;11;455
2202851;436;16;682;190
2202901;4188;1031;6;1445
2203008;869;753;2;389
2203107;2088;197;0;276
2203206;2020;448;48;413
2203230;686;198;4;243
2203255;913;143;0;46
2203271;442;26;180;529
2203305;3027;394;0;370
2203354;630;101;912;223
2203404;1703;71;0;148
2203420;567;195;10;331
2203453;319;231;1136;871
2203503;3262;711;60;291
2203602;1122;85;0;120
2203701;6924;1402;58;1727
2203750;352;19;648;301
2203800;909;39;10;342
2203859;494;54;8;186
2203909;13765;1080;0;1241
2204006;1322;59;13;138
2204105;1027;68;0;228
2204154;310;19;135;322
2204204;1241;322;3;915
2204303;2006;189;351;544
2204352;829;121;4;610
2204402;1002;1078;2;469
2204501;2471;126;0;165
2204550;585;2;38;447
2204600;872;15;0;192
2204659;1835;76;1;288
2204709;3264;214;3;685
2204808;2122;86;1;349
2204907;729;171;55;1241
2205003;1752;214;46;1379
2205102;1825;806;25;442
2205151;594;132;286;576
2205201;2744;297;70;1891
2205250;1061;131;0;42
2205276;659;431;0;209
2205300;943;247;0;43
2205359;201;81;9;524
2205409;2314;528;6;564
2205458;665;217;0;384
2205508;5407;2109;1;1701
2205516;804;126;21;277
2205524;504;176;123;556
2205532;698;45;295;222
2205540;756;15;0;4
2205557;761;755;0;442
2205565;273;12;539;339
2205573;667;44;201;749
2205581;491;257;0;314
2205599;1137;147;9;168
2205607;1340;136;0;99
2205706;2728;1806;230;2296
2205805;4134;374;1;1992
2205854;1314;127;1;385
2205904;1065;79;0;210
2205953;4;7;44;2148
2206001;1100;106;0;43
2206050;70;456;40;1071
2206100;1651;175;0;864
2206209;2819;2932;0;1946
2206308;224;52;0;53
2206357;961;236;55;460
2206407;2297;209;1;347
2206506;1252;55;24;809
2206605;1599;561;1;268
2206654;447;194;29;312
2206670;1168;274;5;228
2206696;748;458;0;862
2206704;1154;303;0;641
2206720;1249;530;0;415
2206753;529;494;0;208
2206803;998;449;0;609
2206902;1382;100;20;433
2206951;450;147;75;241
2207009;6974;929;32;2486
2207108;667;41;0;48
2207207;1087;92;204;619
2207306;613;112;0;354
2207355;589;88;9;343
2207405;826;331;0;153
2207504;2746;389;1;630
2207553;714;40;0;414
2207603;959;804;16;689
2207702;34434;1783;2;2390
2207751;564;288;0;260
2207777;1026;79;41;622
2207793;242;554;0;235
2207801;3148;260;940;1178
2207850;540;152;42;324
2207900;6545;724;427;2083
2207934;556;21;8;70
2207959;495;102;2;537
2208007;18316;609;51;2195
2208106;1963;388;95;738
2208205;1712;509;512;2146
2208304;5298;815;321;1294
2208403;13249;1037;0;2704
2208502;1696;243;1;842
2208551;522;89;0;60
2208601;679;68;0;140
2208650;106;234;386;1465
2208700;1657;140;8;243
2208809;2858;163;44;1870
2208858;586;272;6;257
2208874;881;159;0;174
2208908;873;209;1;348
2209005;1178;67;46;570
2209104;1204;336;0;140
2209153;714;264;8;63
2209203;629;182;0;718
2209302;947;130;0;385
2209351;1354;4;0;60
2209377;1129;51;3;365
2209401;1467;31;3;275
2209450;193;11;1;326
2209500;975;55;1;95
2209559;76;10;682;462
2209609;502;212;0;76
2209658;332;36;658;466
2209708;946;255;12;598
2209757;424;144;0;153
2209807;1265;32;0;42
2209856;1160;19;1;196
2209872;888;347;84;192
2209906;987;333;30;435
2209955;456;91;6;710
2209971;1676;87;13;148
2210003;4173;304;65;819
2210052;1001;61;62;262
2210102;797;200;4;61
2210201;1701;40;4;185
2210300;1191;43;271;230
2210359;334;7;806;150
2210375;708;0;1;34
2210383;434;120;0;68
2210391;530;96;0;191
2210409;3285;970;59;665
2210508;2547;387;1;824
2210607;6172;120;1882;1113
2210623;300;289;7;293
2210631;755;218;2;156
2210656;1699;766;23;266
2210706;1664;55;331;1558
2210805;2493;400;106;345
2210904;750;107;1;422
2210938;1730;41;0;41
2210953;408;87;15;249
2210979;728;12;1;59
2211001;207094;6667;13;7991
2211100;5683;3227;3;1821
2211209;4117;636;0;471
